Problem_ID,n,trig,b,problem_latex,answer_latex
IBP_n00_sin_b10_05,0,sin,10,"Evaluate the indefinite integral.

\int \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(10 x \right)}}{10}
IBP_n00_cos_b06_08,0,cos,6,"Evaluate the indefinite integral.

\int \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(6 x \right)}}{6}
IBP_n01_sin_b10_07,1,sin,10,"Evaluate the indefinite integral.

\int x \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(10 x \right)}}{10} + \frac{\sin{\left(10 x \right)}}{100}
IBP_n01_cos_b09_08,1,cos,9,"Evaluate the indefinite integral.

\int x \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x \sin{\left(9 x \right)}}{9} + \frac{\cos{\left(9 x \right)}}{81}
IBP_n02_sin_b04_06,2,sin,4,"Evaluate the indefinite integral.

\int x^{2} \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{2} \cos{\left(4 x \right)}}{4} + \frac{x \sin{\left(4 x \right)}}{8} + \frac{\cos{\left(4 x \right)}}{32}
IBP_n02_cos_b03_08,2,cos,3,"Evaluate the indefinite integral.

\int x^{2} \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{2} \sin{\left(3 x \right)}}{3} + \frac{2 x \cos{\left(3 x \right)}}{9} - \frac{2 \sin{\left(3 x \right)}}{27}
IBP_n03_cos_b09_07,3,cos,9,"Evaluate the indefinite integral.

\int x^{3} \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{3} \sin{\left(9 x \right)}}{9} + \frac{x^{2} \cos{\left(9 x \right)}}{27} - \frac{2 x \sin{\left(9 x \right)}}{243} - \frac{2 \cos{\left(9 x \right)}}{2187}
IBP_n04_sin_b06_01,4,sin,6,"Evaluate the indefinite integral.

\int x^{4} \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x^{4} \cos{\left(6 x \right)}}{6} + \frac{x^{3} \sin{\left(6 x \right)}}{9} + \frac{x^{2} \cos{\left(6 x \right)}}{18} - \frac{x \sin{\left(6 x \right)}}{54} - \frac{\cos{\left(6 x \right)}}{324}
IBP_n04_cos_b10_02,4,cos,10,"Evaluate the indefinite integral.

\int x^{4} \cos(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{4} \sin{\left(10 x \right)}}{10} + \frac{x^{3} \cos{\left(10 x \right)}}{25} - \frac{3 x^{2} \sin{\left(10 x \right)}}{250} - \frac{3 x \cos{\left(10 x \right)}}{1250} + \frac{3 \sin{\left(10 x \right)}}{12500}
IBP_n04_cos_b06_04,4,cos,6,"Evaluate the indefinite integral.

\int x^{4} \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{x^{4} \sin{\left(6 x \right)}}{6} + \frac{x^{3} \cos{\left(6 x \right)}}{9} - \frac{x^{2} \sin{\left(6 x \right)}}{18} - \frac{x \cos{\left(6 x \right)}}{54} + \frac{\sin{\left(6 x \right)}}{324}
