Problem_ID,n,trig,b,problem_latex,answer_latex
IBP_n00_sin_b01_00,0,sin,1,"Evaluate the indefinite integral.

\int \sin(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \cos{\left(x \right)}
IBP_n00_sin_b07_01,0,sin,7,"Evaluate the indefinite integral.

\int \sin(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(7 x \right)}}{7}
IBP_n00_sin_b03_02,0,sin,3,"Evaluate the indefinite integral.

\int \sin(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(3 x \right)}}{3}
IBP_n00_sin_b09_03,0,sin,9,"Evaluate the indefinite integral.

\int \sin(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(9 x \right)}}{9}
IBP_n00_sin_b06_04,0,sin,6,"Evaluate the indefinite integral.

\int \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(6 x \right)}}{6}
IBP_n00_sin_b10_05,0,sin,10,"Evaluate the indefinite integral.

\int \sin(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(10 x \right)}}{10}
IBP_n00_sin_b08_06,0,sin,8,"Evaluate the indefinite integral.

\int \sin(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(8 x \right)}}{8}
IBP_n00_sin_b04_07,0,sin,4,"Evaluate the indefinite integral.

\int \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(4 x \right)}}{4}
IBP_n00_sin_b05_08,0,sin,5,"Evaluate the indefinite integral.

\int \sin(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(5 x \right)}}{5}
IBP_n00_sin_b02_09,0,sin,2,"Evaluate the indefinite integral.

\int \sin(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{\cos{\left(2 x \right)}}{2}
IBP_n00_cos_b10_00,0,cos,10,"Evaluate the indefinite integral.

\int \cos(10x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(10 x \right)}}{10}
IBP_n00_cos_b03_01,0,cos,3,"Evaluate the indefinite integral.

\int \cos(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(3 x \right)}}{3}
IBP_n00_cos_b05_02,0,cos,5,"Evaluate the indefinite integral.

\int \cos(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(5 x \right)}}{5}
IBP_n00_cos_b09_03,0,cos,9,"Evaluate the indefinite integral.

\int \cos(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(9 x \right)}}{9}
IBP_n00_cos_b08_04,0,cos,8,"Evaluate the indefinite integral.

\int \cos(8x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(8 x \right)}}{8}
IBP_n00_cos_b02_05,0,cos,2,"Evaluate the indefinite integral.

\int \cos(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(2 x \right)}}{2}
IBP_n00_cos_b01_06,0,cos,1,"Evaluate the indefinite integral.

\int \cos(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\sin{\left(x \right)}
IBP_n00_cos_b04_07,0,cos,4,"Evaluate the indefinite integral.

\int \cos(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(4 x \right)}}{4}
IBP_n00_cos_b06_08,0,cos,6,"Evaluate the indefinite integral.

\int \cos(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(6 x \right)}}{6}
IBP_n00_cos_b07_09,0,cos,7,"Evaluate the indefinite integral.

\int \cos(7x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",\frac{\sin{\left(7 x \right)}}{7}
IBP_n01_sin_b09_00,1,sin,9,"Evaluate the indefinite integral.

\int x \sin(9x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(9 x \right)}}{9} + \frac{\sin{\left(9 x \right)}}{81}
IBP_n01_sin_b06_01,1,sin,6,"Evaluate the indefinite integral.

\int x \sin(6x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(6 x \right)}}{6} + \frac{\sin{\left(6 x \right)}}{36}
IBP_n01_sin_b01_02,1,sin,1,"Evaluate the indefinite integral.

\int x \sin(x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- x \cos{\left(x \right)} + \sin{\left(x \right)}
IBP_n01_sin_b02_03,1,sin,2,"Evaluate the indefinite integral.

\int x \sin(2x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(2 x \right)}}{2} + \frac{\sin{\left(2 x \right)}}{4}
IBP_n01_sin_b05_04,1,sin,5,"Evaluate the indefinite integral.

\int x \sin(5x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(5 x \right)}}{5} + \frac{\sin{\left(5 x \right)}}{25}
IBP_n01_sin_b03_05,1,sin,3,"Evaluate the indefinite integral.

\int x \sin(3x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(3 x \right)}}{3} + \frac{\sin{\left(3 x \right)}}{9}
IBP_n01_sin_b04_06,1,sin,4,"Evaluate the indefinite integral.

\int x \sin(4x)\,dx

Show all steps. Give the antiderivative (omit the constant of integration) inside \boxed{}.",- \frac{x \cos{\left(4 x \right)}}{4} + \frac{\sin{\left(4 x \right)}}{16}
