Problem_ID,n,trig,b,seed,n_terms_in_answer,max_coefficient_magnitude,max_coefficient_magnitude_log10
IBP_n00_sin_b01_00,0,sin,1,20260915,1,1.0,0.0
IBP_n00_sin_b07_01,0,sin,7,20260915,1,7.0,0.8451
IBP_n00_sin_b03_02,0,sin,3,20260915,1,3.0,0.4771
IBP_n00_sin_b09_03,0,sin,9,20260915,1,9.0,0.9542
IBP_n00_sin_b06_04,0,sin,6,20260915,1,6.0,0.7782
IBP_n00_sin_b10_05,0,sin,10,20260915,1,10.0,1.0
IBP_n00_sin_b08_06,0,sin,8,20260915,1,8.0,0.9031
IBP_n00_sin_b04_07,0,sin,4,20260915,1,4.0,0.6021
IBP_n00_sin_b05_08,0,sin,5,20260915,1,5.0,0.699
IBP_n00_sin_b02_09,0,sin,2,20260915,1,2.0,0.301
IBP_n00_cos_b10_00,0,cos,10,20260915,1,10.0,1.0
IBP_n00_cos_b03_01,0,cos,3,20260915,1,3.0,0.4771
IBP_n00_cos_b05_02,0,cos,5,20260915,1,5.0,0.699
IBP_n00_cos_b09_03,0,cos,9,20260915,1,9.0,0.9542
IBP_n00_cos_b08_04,0,cos,8,20260915,1,8.0,0.9031
IBP_n00_cos_b02_05,0,cos,2,20260915,1,2.0,0.301
IBP_n00_cos_b01_06,0,cos,1,20260915,1,1.0,0.0
IBP_n00_cos_b04_07,0,cos,4,20260915,1,4.0,0.6021
IBP_n00_cos_b06_08,0,cos,6,20260915,1,6.0,0.7782
IBP_n00_cos_b07_09,0,cos,7,20260915,1,7.0,0.8451
IBP_n01_sin_b09_00,1,sin,9,20260915,2,9.0,0.9542
IBP_n01_sin_b06_01,1,sin,6,20260915,2,6.0,0.7782
IBP_n01_sin_b01_02,1,sin,1,20260915,2,1.0,0.0
IBP_n01_sin_b02_03,1,sin,2,20260915,2,2.0,0.301
IBP_n01_sin_b05_04,1,sin,5,20260915,2,5.0,0.699
IBP_n01_sin_b03_05,1,sin,3,20260915,2,3.0,0.4771
IBP_n01_sin_b04_06,1,sin,4,20260915,2,4.0,0.6021
IBP_n01_sin_b10_07,1,sin,10,20260915,2,10.0,1.0
IBP_n01_sin_b08_08,1,sin,8,20260915,2,8.0,0.9031
IBP_n01_sin_b07_09,1,sin,7,20260915,2,7.0,0.8451
IBP_n01_cos_b04_00,1,cos,4,20260915,2,4.0,0.6021
IBP_n01_cos_b06_01,1,cos,6,20260915,2,6.0,0.7782
IBP_n01_cos_b08_02,1,cos,8,20260915,2,8.0,0.9031
IBP_n01_cos_b07_03,1,cos,7,20260915,2,7.0,0.8451
IBP_n01_cos_b02_04,1,cos,2,20260915,2,2.0,0.301
IBP_n01_cos_b05_05,1,cos,5,20260915,2,5.0,0.699
IBP_n01_cos_b01_06,1,cos,1,20260915,2,1.0,0.0
