problem_id,pool_id,symmetry,spectrum_type,source,problem_latex,answer_latex,l0_prompt,matrix_latex
C_5x5_eig_007,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & -3 & -2 & -1 & 5 \\ -3 & 2 & -4 & -2 & -1 \\ -2 & -4 & 6 & 1 & 1 \\ -1 & -2 & 1 & -4 & -4 \\ 5 & -1 & 1 & -4 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -6.7782, -5.3145, 1.4187, 7.7088, 8.9652","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & -3 & -2 & -1 & 5 \\ -3 & 2 & -4 & -2 & -1 \\ -2 & -4 & 6 & 1 & 1 \\ -1 & -2 & 1 & -4 & -4 \\ 5 & -1 & 1 & -4 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 0 & -3 & -2 & -1 & 5 \\ -3 & 2 & -4 & -2 & -1 \\ -2 & -4 & 6 & 1 & 1 \\ -1 & -2 & 1 & -4 & -4 \\ 5 & -1 & 1 & -4 & 2 \end{bmatrix}
C_5x5_eig_008,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & -5 & -2 & -3 & 2 \\ -5 & 8 & 5 & 2 & -5 \\ -2 & 5 & 4 & -8 & 3 \\ -3 & 2 & -8 & 0 & 7 \\ 2 & -5 & 3 & 7 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -13.2528, -4.1038, 5.6542, 8.7978, 14.9047","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & -5 & -2 & -3 & 2 \\ -5 & 8 & 5 & 2 & -5 \\ -2 & 5 & 4 & -8 & 3 \\ -3 & 2 & -8 & 0 & 7 \\ 2 & -5 & 3 & 7 & 2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -2 & -5 & -2 & -3 & 2 \\ -5 & 8 & 5 & 2 & -5 \\ -2 & 5 & 4 & -8 & 3 \\ -3 & 2 & -8 & 0 & 7 \\ 2 & -5 & 3 & 7 & 2 \end{bmatrix}
C_5x5_eig_009,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 4 & 2 & -1 & -4 & 1 \\ 2 & -6 & -6 & -3 & 2 \\ -1 & -6 & 6 & -4 & 1 \\ -4 & -3 & -4 & 4 & -2 \\ 1 & 2 & 1 & -2 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -9.9891, -0.6487, 5.9924, 9.1452, 11.5002","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 4 & 2 & -1 & -4 & 1 \\ 2 & -6 & -6 & -3 & 2 \\ -1 & -6 & 6 & -4 & 1 \\ -4 & -3 & -4 & 4 & -2 \\ 1 & 2 & 1 & -2 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 4 & 2 & -1 & -4 & 1 \\ 2 & -6 & -6 & -3 & 2 \\ -1 & -6 & 6 & -4 & 1 \\ -4 & -3 & -4 & 4 & -2 \\ 1 & 2 & 1 & -2 & 8 \end{bmatrix}
C_5x5_eig_010,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 0 & -1 & 8 & 3 \\ 0 & -2 & 4 & -3 & -1 \\ -1 & 4 & 8 & 5 & 6 \\ 8 & -3 & 5 & 0 & 7 \\ 3 & -1 & 6 & 7 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -10.5361, -5.9796, -1.7772, 7.5096, 16.7833","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 0 & -1 & 8 & 3 \\ 0 & -2 & 4 & -3 & -1 \\ -1 & 4 & 8 & 5 & 6 \\ 8 & -3 & 5 & 0 & 7 \\ 3 & -1 & 6 & 7 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 0 & 0 & -1 & 8 & 3 \\ 0 & -2 & 4 & -3 & -1 \\ -1 & 4 & 8 & 5 & 6 \\ 8 & -3 & 5 & 0 & 7 \\ 3 & -1 & 6 & 7 & 0 \end{bmatrix}
C_5x5_eig_011,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 4 & 2 & -1 & -6 & -5 \\ 2 & -6 & 1 & 3 & 2 \\ -1 & 1 & -2 & 8 & -2 \\ -6 & 3 & 8 & 8 & 3 \\ -5 & 2 & -2 & 3 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -11.8497, -8.1126, -3.8837, 3.6081, 16.2379","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 4 & 2 & -1 & -6 & -5 \\ 2 & -6 & 1 & 3 & 2 \\ -1 & 1 & -2 & 8 & -2 \\ -6 & 3 & 8 & 8 & 3 \\ -5 & 2 & -2 & 3 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 4 & 2 & -1 & -6 & -5 \\ 2 & -6 & 1 & 3 & 2 \\ -1 & 1 & -2 & 8 & -2 \\ -6 & 3 & 8 & 8 & 3 \\ -5 & 2 & -2 & 3 & -8 \end{bmatrix}
C_5x5_eig_012,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -4 & 0 & 1 & 7 & -6 \\ 0 & 0 & 7 & 1 & 3 \\ 1 & 7 & -2 & -5 & 7 \\ 7 & 1 & -5 & -6 & -6 \\ -6 & 3 & 7 & -6 & -2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -14.9334, -10.246, -6.224, 3.6107, 13.7927","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -4 & 0 & 1 & 7 & -6 \\ 0 & 0 & 7 & 1 & 3 \\ 1 & 7 & -2 & -5 & 7 \\ 7 & 1 & -5 & -6 & -6 \\ -6 & 3 & 7 & -6 & -2 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -4 & 0 & 1 & 7 & -6 \\ 0 & 0 & 7 & 1 & 3 \\ 1 & 7 & -2 & -5 & 7 \\ 7 & 1 & -5 & -6 & -6 \\ -6 & 3 & 7 & -6 & -2 \end{bmatrix}
C_5x5_eig_013,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & 6 & -1 & -1 & -1 \\ 6 & 2 & 0 & 2 & -3 \\ -1 & 0 & 4 & -1 & 4 \\ -1 & 2 & -1 & -2 & -4 \\ -1 & -3 & 4 & -4 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -7.2171, -2.8922, 1.8605, 5.1509, 13.0979","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -2 & 6 & -1 & -1 & -1 \\ 6 & 2 & 0 & 2 & -3 \\ -1 & 0 & 4 & -1 & 4 \\ -1 & 2 & -1 & -2 & -4 \\ -1 & -3 & 4 & -4 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -2 & 6 & -1 & -1 & -1 \\ 6 & 2 & 0 & 2 & -3 \\ -1 & 0 & 4 & -1 & 4 \\ -1 & 2 & -1 & -2 & -4 \\ -1 & -3 & 4 & -4 & 8 \end{bmatrix}
C_5x5_eig_014,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 2 & 0 & 7 & -6 \\ 2 & -6 & 4 & -6 & 3 \\ 0 & 4 & 4 & -6 & 1 \\ 7 & -6 & -6 & -6 & 0 \\ -6 & 3 & 1 & 0 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -16.2815, -5.7005, -2.5592, 5.0255, 11.5157","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 0 & 2 & 0 & 7 & -6 \\ 2 & -6 & 4 & -6 & 3 \\ 0 & 4 & 4 & -6 & 1 \\ 7 & -6 & -6 & -6 & 0 \\ -6 & 3 & 1 & 0 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 0 & 2 & 0 & 7 & -6 \\ 2 & -6 & 4 & -6 & 3 \\ 0 & 4 & 4 & -6 & 1 \\ 7 & -6 & -6 & -6 & 0 \\ -6 & 3 & 1 & 0 & 0 \end{bmatrix}
C_5x5_eig_015,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -8 & -8 & 4 & -5 & 4 \\ -8 & 4 & -3 & -4 & -5 \\ 4 & -3 & -4 & 7 & 3 \\ -5 & -4 & 7 & -8 & -1 \\ 4 & -5 & 3 & -1 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -19.1648, -7.762, -3.0933, 0.5059, 13.5143","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} -8 & -8 & 4 & -5 & 4 \\ -8 & 4 & -3 & -4 & -5 \\ 4 & -3 & -4 & 7 & 3 \\ -5 & -4 & 7 & -8 & -1 \\ 4 & -5 & 3 & -1 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} -8 & -8 & 4 & -5 & 4 \\ -8 & 4 & -3 & -4 & -5 \\ 4 & -3 & -4 & 7 & 3 \\ -5 & -4 & 7 & -8 & -1 \\ 4 & -5 & 3 & -1 & 0 \end{bmatrix}
C_5x5_eig_016,irr-sym,symmetric,irrational,baseline,"Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & -2 & -3 & 1 & 1 \\ -2 & 2 & -2 & 2 & 3 \\ -3 & -2 & 0 & -5 & -4 \\ 1 & 2 & -5 & 4 & 3 \\ 1 & 3 & -4 & 3 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -4.5384, -1.1893, 1.9752, 4.3756, 13.3769","Find the eigenvalues of the 5×5 matrix A.

A = \begin{bmatrix} 2 & -2 & -3 & 1 & 1 \\ -2 & 2 & -2 & 2 & 3 \\ -3 & -2 & 0 & -5 & -4 \\ 1 & 2 & -5 & 4 & 3 \\ 1 & 3 & -4 & 3 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",A = \begin{bmatrix} 2 & -2 & -3 & 1 & 1 \\ -2 & 2 & -2 & 2 & 3 \\ -3 & -2 & 0 & -5 & -4 \\ 1 & 2 & -5 & 4 & 3 \\ 1 & 3 & -4 & 3 & 6 \end{bmatrix}
